50.9095313, 6.4027701,building,15.1
50.908496, 6.4069747,building,04.1
50.9099533, 6.4053643,building,16.4
50.909488, 6.406530,building,16.3
50.9085987, 6.4014848,building,15.13
50.9084058, 6.4017089,building,15.8
50.9084574, 6.4018056,building,15.7
50.9077183, 6.4035539,building,15.14
50.9078287, 6.4044724,building,15.2
50.908287, 6.403970,building,15.22
50.9086213, 6.4041154,building,15.9
50.90924, 6.4032202,building,15.6
50.9097372, 6.4043449,building,16.6
50.910205, 6.404662,building,16.9
50.910365, 6.405169,building,16.13
50.908821, 6.405314,building,16.15
50.9099617, 6.4069572,building,16.5
















