55.14,76.68,
53.67,75.21,
51.87,73.41,
48.09,69.63,
48.69,70.23,
48.3,69.84,
47.14,68.68,
49.44,70.98,
49.01,70.55,
51.05,72.59,
55.03,76.57,
57.31,78.85,
58.34,79.88,
57.87,79.41,
56.28,77.82,
55.71,77.25,
60.15,81.69,
68.72,90.26,
68.69,90.23,
66.62,88.16,
64.35,85.89,
60.8,82.34,
61.38,82.92,
55.85,77.39,
53.48,75.02,
47.85,69.39,
46.63,68.17,
44.05,65.59,
42.55,64.09,
43.19,64.73,
43.9,65.44,
45.11,66.65,
47.4,68.94,
49.4,70.94,
50.87,72.41,
52.35,73.89,
53.82,75.36,
51.07,72.61,
48.18,69.72,
48.25,69.79,
50.53,72.07,
59.29,80.83,
59.64,81.18,
57.84,79.38,
48.66,70.2,
47.11,68.65,
48.25,69.79,
46.59,68.13,
38.27,59.81,
31.27,52.81,
31.51,53.05,
35.79,57.33,
35.4,56.94,
38.04,59.58,
32.03,53.57,
35.55,57.09,
40.39,61.93,
47.2,68.74,
48.34,69.88,
50.56,72.1,
51.53,73.07,
48.94,70.48,
49.77,71.31,
47.79,69.33,
50.04,71.58,
53.49,75.03,
58.04,79.58,
58.36,79.9,
56.61,78.15,
53.39,74.93,
52.19,73.73,
45.71,67.25,
45.06,66.6,
44.05,65.59,
41.84,63.38,
35.15,56.69,
34.48,56.02,
39.95,61.49,
49.29,70.83,
59.8,81.34,
66.02,87.56,
64.74,86.28,
64.52,86.06,
66.37,87.91,
66.28,87.82,
66.28,87.82,
66.22,87.76,
66.2,87.74,
69.28,90.82,
72.49,94.03,
74.23,95.77,
73.24,94.78,
66.22,87.76,
61.94,83.48,
61.28,82.82,
55.18,76.72,
56.31,77.85,
55.7,77.24,
53.62,75.16,
52.78,74.32,
51.28,72.82,
54.81,76.35,
60.24,81.78,
69.6,91.14,
72.73,94.27,
72,93.54,
71.94,93.48,
71.61,93.15,
69.53,91.07,
68.26,89.8,
66.19,87.73,
64.78,86.32,
66.38,87.92,
73.72,95.26,
74.22,95.76,
73.02,94.56,
67.75,89.29,
64.29,85.83,
63.03,84.57,
58.27,79.81,
61.3,82.84,
61.85,83.39,
61.53,83.07,
